Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track,Streaming Popularity,Total Streams
MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,2024-04-26,QM24S2402528,1,725.4,390470936,"30,716","196,631,588",92.0,84274754,"1,713,126","5,767,700",651565900,5332281936,"150,597,040",210.0,"40,975",684,62.0,"17,598,718",114.0,18004655,"22,931",4818457,2669262,,0,184627502.0,5829850738
Not Like Us,Not Like Us,Kendrick Lamar,2024-05-04,USUG12400910,2,545.9,323703884,"28,113","174,597,137",92.0,116347040,"3,486,739","674,700",35223547,208339025,"156,380,351",188.0,"40,778",3,67.0,"10,422,430",111.0,7780028,"28,444",6623075,1118279,,1,38172239.5,662793052
i like the way you kiss me,I like the way you kiss me,Artemas,2024-03-19,QZJ842400387,3,538.4,601309283,"54,331","211,607,669",92.0,122599116,"2,228,730","3,025,400",275154237,3369120610,"373,784,955",190.0,"74,333",536,136.0,"36,321,847",172.0,5022621,"5,639",7208651,5285340,,0,100759696.25,4105260281
Flowers,Flowers - Single,Miley Cyrus,2023-01-12,USSM12209777,4,444.9,2031280633,"269,802","136,569,078",85.0,1096100899,"10,629,796","7,189,811",1078757968,14603725994,"3,351,188,582",394.0,"1,474,799","2,182",264.0,"24,684,248",210.0,190260277,"203,384",0,11822942,,0,546670473.5,17921367803
Houdini,Houdini,Eminem,2024-05-31,USUG12403398,5,423.3,107034922,"7,223","151,469,874",88.0,77373957,"3,670,188","16,400",0,0,"112,763,851",182.0,"12,185",1,82.0,"17,660,624",105.0,4493884,"7,006",207179,457017,,1,19457765.5,189109942
Lovin On Me,Lovin On Me,Jack Harlow,2023-11-10,USAT22311371,6,410.1,670665438,"105,892","175,421,034",83.0,131148091,"1,392,593","4,202,367",214943489,2938686633,"2,867,222,632",138.0,"522,042","4,654",86.0,"17,167,254",152.0,138529362,"50,982",9438601,4517131,,1,87652198.5,3888468125
Beautiful Things,Beautiful Things,Benson Boone,2024-01-18,USWB12307016,7,407.2,900158751,"73,118","201,585,714",86.0,308723145,"4,120,760",,29584940,534915313,"4,601,579,812",280.0,"383,478",429,168.0,"48,197,850",154.0,65447476,"57,372",0,9990302,,0,87074618.25,1809244685
Gata Only,Gata Only,FloyyMenor,2024-02-02,QZL382406049,8,375.8,675079153,"40,094","211,236,940",92.0,228382568,"1,439,495","3,500,000",338546668,3804584163,"2,112,581,620",160.0,"17,221",30,87.0,"33,245,595",53.0,3372428,"5,762",0,6063523,,1,143248212.75,4711418312
BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,2024-05-23,USSM12404354,10,330.6,90676573,"10,400","184,199,419",86.0,32735244,"988,682","325,800",121574500,974656200,"174,706,874",191.0,"3,823",117,78.0,"10,800,098",92.0,1005626,842,3679709,666302,,1,38744033.0,1102753352
I Had Some Help (feat. Morgan Wallen),I Had Some Help,Post Malone,2024-05-10,USUM72404990,11,322.1,250080413,"16,219","168,766,158",91.0,32229063,"550,191",,184500,2100000,"327,130,768",157.0,"62,312",71,60.0,"12,009,073",114.0,23155471,"21,172",1594605,963413,,1,8344266.75,309159552
LUNCH,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401991,13,316.3,221636195,"13,800","197,280,692",92.0,40022524,"1,307,290","195,300",45889000,360017000,"342,107,131",244.0,"41,344",45,138.0,"38,243,636",163.0,1354692,"1,219",1313357,450344,,0,21590490.0,624343768
Like That,WE DON'T TRUST YOU,Future,2024-03-22,USSM12402041,14,308.2,355186436,"43,025","108,168,634",88.0,98081493,"1,456,177",,0,0,"174,491,415",153.0,"90,237",3,55.0,"3,001,826",109.0,26252264,"18,364",12038034,1963314,,1,25011223.75,491558227
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,Taylor Swift,2024-04-18,USUG12401028,17,297.6,395433400,"12,784","177,932,568",89.0,104673836,"2,484,083","139,300",25348800,207317000,"268,893,710",221.0,"129,968",3,99.0,"37,988,531",134.0,9961769,"13,437",377734,1210029,,0,32808188.5,717763739
greedy,greedy,Tate McRae,2023-09-14,USRC12301932,18,293.7,1258569694,"105,218","198,845,580",87.0,141646818,"1,514,837","2,294,429",419319161,5456156211,"2,667,285,437",207.0,"667,329","3,310",188.0,"21,788,568",150.0,44850379,"12,270",0,6973652,,1,141984929.5,6901223102
BLUE,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401996,19,292.6,91272461,"6,499","52,287,548",86.0,16038053,"569,377","941,900",119740900,1225345800,"5,839,168",76.0,181,1,24.0,"5,054,005",33.0,283089,162,975891,257661,,0,34009175.0,1333915294
As It Was,As It Was,Harry Styles,2022-03-31,USSM12200612,20,292.0,3301814535,"407,119","169,783,402",87.0,800899315,"9,101,589","2,755,903",1633970617,15405881843,"7,289,707,052",455.0,"1,777,811","4,909",330.0,"12,907,852",189.0,132624772,"79,909",0,14967379,,0,612459349.5,19641220465
Espresso,Espresso,Sabrina Carpenter,2024-04-12,USUM72403305,22,281.5,547882871,"24,425","262,343,414",95.0,107550212,"1,825,761","209,200",169144295,1379499000,"422,646,034",298.0,"37,208",236,167.0,"41,414,565",149.0,10362898,"10,848",1551157,1373085,,1,69516921.75,2046846138
TEXAS HOLD 'EM,TEXAS HOLD 'EM,Beyonc�,2024-02-10,USSM12401302,24,278.9,426700979,"34,044","152,928,632",86.0,35724356,"437,980","1,470,500",485200392,6518604175,"1,213,175,656",159.0,"309,497",257,194.0,"40,725,482",177.0,13860535,"36,282",0,2100708,,1,130756385.5,6994890045
we can't be friends (wait for your love),eternal sunshine,Ariana Grande,2024-03-08,USUM72317276,29,262.8,591068364,"26,203","197,494,995",87.0,156882014,"3,080,503",,0,0,"578,568,464",194.0,"200,230",32,117.0,"22,062,193",126.0,10106573,"7,689",1612479,1579980,,0,39615520.25,759669430
SHEESH,BABYMONS7ER,BABYMONSTER,2024-04-01,KRA402400016,32,237.5,124893397,"3,479","25,936,342",82.0,359896095,"4,907,193","212,500",48327004,390081328,"38,798,822",36.0,"2,188",32,3.0,"347,997",26.0,130743,592,265670,191867,,0,102103762.0,875267233
Water,Water,Tyla,2023-07-28,USSM12305126,33,234.6,670376179,"98,450","150,471,020",83.0,265180930,"2,566,846","2,114,363",369150956,3932956380,"3,031,114,430",225.0,"486,952","1,215",180.0,"19,469,488",188.0,40418532,"27,555",6049784,6447136,,0,160194776.25,4914981805
A Bar Song (Tipsy),A Bar Song (Tipsy),Shaboozey,2024-04-12,USUYG1541249,37,226.4,311928522,"25,766","180,237,463",96.0,62694868,"837,616",,27811667,378313942,"243,895,569",149.0,,141,58.0,"26,516,005",146.0,21453034,"30,180",4482348,1707213,,1,23053461.0,778872714
Lose Control,Lose Control,Teddy Swims,2023-06-23,USWB12302315,38,224.1,775135157,"88,239","180,617,454",87.0,139180960,"1,504,385","396,560",49060857,597513595,"4,016,801,205",215.0,"605,841",162,133.0,"42,675,181",120.0,253538985,"72,429",5409388,10517831,,0,49689933.75,1770778085
BIRDS OF A FEATHER,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401994,41,212.8,214237645,"10,871","202,626,837",92.0,11033725,"251,373","251,200",71078500,443104700,"148,058,631",247.0,"3,400",8,67.0,"11,523,335",125.0,840442,"2,592",1369981,285858,,0,20599543.75,670586493
I'm Good (Blue),I'm Good (Blue),David Guetta,2022-08-26,UKWLG2200055,43,209.6,1658229422,"262,248","239,957,538",83.0,466080689,"4,324,989","728,093",54258768,1051836430,"1,425,853,925",285.0,"935,190","2,487",207.0,"6,479,623",168.0,139926990,"31,235",8007236,10973120,,1,132828165.0,3324080767
Daylight,Daylight,David Kushner,2023-04-14,QZXDB2300005,44,207.0,1126820069,"177,800","85,255,689",82.0,274070101,"3,701,289","2,557,115",285329503,2578518632,"1,205,538,057",163.0,"259,255",96,77.0,"3,413,707",80.0,28924685,"14,634",9505098,8681350,,0,142020259.0,4017838585
My Love Mine All Mine,The Land Is Inhospitable and So Are We,Mitski,2023-09-15,USJ5G2335007,45,206.2,997702304,"105,927","92,834,002",86.0,48093111,"959,175","3,648,759",857220853,5469808282,"298,259,422",91.0,"36,285","2,676",63.0,"10,874,749",110.0,6151267,"9,160",7980051,2682219,,0,226999067.25,6529735015
Please Please Please,Please Please Please,Sabrina Carpenter,2024-06-06,USUM72404101,46,205.7,59314441,"2,572","183,043,096",83.0,22374807,"1,026,097",,188200,1200000,"110,446,147",199.0,"2,359",2,73.0,"13,686,074",98.0,360163,758,9883,47115,,1,5652551.25,83259294
euphoria,euphoria,Kendrick Lamar,2024-04-30,USUG12402839,51,202.1,168434320,"17,168","62,516,401",86.0,53604746,"1,846,535",,0,0,"174,375,427",65.0,"6,408",77,20.0,"428,378",31.0,3156727,"4,843",4304870,654482,,1,13564828.5,229500663
Blinding Lights,Blinding Lights,The Weeknd,2019-11-29,USUG11904206,56,194.0,4281468720,"590,392","165,544,011",83.0,833807130,"10,093,211","2,882,064",337322563,3501177394,"2,258,085,924",859.0,"1,695,240","1,116",564.0,"11,701,129",184.0,489299762,"319,634",28659471,28994660,,0,300031109.0,9134412477
Supernova,Supernova,aespa,2024-05-13,KRA302400090,63,186.1,69729033,"2,483","21,046,278",81.0,111310770,"1,724,693","56,600",61038623,393973528,"32,059,104",40.0,709,13,7.0,"544,322",14.0,45515,100,255951,63283,,0,43103189.25,575314797
CARNIVAL,CARNIVAL,��$,2024-02-08,QZ7XS2400012,67,179.6,466887055,"53,842","103,935,623",84.0,27688666,"449,112",,0,0,"33,817,299",42.0,"53,333",,11.0,"199,915",29.0,1359484,"11,303",11703609,1982000,,1,7417687.5,507638814
Kill Bill,SOS,SZA,2022-12-08,USRC12204584,68,177.7,1873746537,"190,202","99,546,318",82.0,220538045,"3,153,793","266,430",152410048,1284413960,"426,461,749",214.0,"655,242","5,448",73.0,"1,304,067",122.0,57350590,"61,270",16992932,4873832,,0,94455501.75,3453042064
"What Was I Made For? [From The Motion Picture ""Barbie""]","What Was I Made For? (From The Motion Picture ""Barbie"")",Billie Eilish,2023-07-13,USUM72307484,69,177.6,891720245,"114,560","97,542,546",82.0,144741616,"2,761,964","1,443,103",498822693,3998086216,"1,384,310,160",168.0,"275,119",68,108.0,"10,920,686",111.0,39374594,"19,921",5418596,4476509,,0,162010225.0,5079341267
Heat Waves,Heat Waves,Glass Animals,2020-06-29,GBUM72000433,71,175.0,2996181078,"486,278","112,416,489",82.0,1272898075,"14,947,520","1,416,295",513334446,5518429969,"4,899,313,022",459.0,"1,414,326","1,434",170.0,"11,862,378",95.0,122247640,"160,431",0,17848778,,0,451020345.25,9909756762
CHIHIRO,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401988,79,167.8,169410711,"11,028","144,854,768",90.0,19402457,"997,411",284,0,0,"260,377,114",185.0,"1,008",,53.0,"20,737,850",59.0,521322,698,1680434,388625,,0,4947793.0,191014924
Perfect,�� (Deluxe),Ed Sheeran,2017-03-03,GBAHS1700024,81,167.5,2969999682,"280,165","116,921,604",81.0,6473698897,"39,632,673","6,642,975",601244764,7647479866,"1,708,317,539",208.0,"263,386",129,343.0,"1,242,581",102.0,617483078,"595,052",0,0,,0,1768735935.5,17708661523
Magnetic,SUPER REAL ME,ILLIT,2024-03-25,USA2P2413259,93,161.0,255076355,"11,500","90,584,540",86.0,202206901,"2,596,912",,57656713,506476590,"273,521,596",67.0,"4,716",137,9.0,"423,666",44.0,220481,"1,207",556784,659825,,0,65130881.25,964537111
La Diabla,La Diabla - Single,Xavi,2023-12-02,USA2P2357356,95,155.9,649404552,"27,544","47,789,063",83.0,433839212,"2,750,086",,414833,10603563,"1,795,939,912",29.0,"16,287",462,34.0,"16,509,806",26.0,22603598,"29,401",0,1380069,,0,108908549.25,1116450925
Snooze,SOS,SZA,2022-12-09,USRC12204591,97,153.3,1013350808,"108,036","86,470,319",84.0,390677417,"2,521,214","402,338",97819766,887803828,"560,893,301",154.0,"559,589",513,60.0,"2,707,900",61.0,74611167,"85,113",17702595,3129609,,1,122906719.0,2384145815
BELLAKEO,BELLAKEO,Peso Pluma,2023-12-07,QMFMF2388143,98,153.1,359803580,"26,065","79,152,427",86.0,369321334,"1,839,225","720,800",74164945,874056250,"4,123,457,278",40.0,"16,952",69,63.0,"18,139,662",51.0,20058510,"7,289",0,1002835,,1,111122300.0,1623239674
Prada,Prada,cass�,2023-08-11,GBCEN2300147,100,152.5,609699748,"128,498","160,755,092",83.0,47611547,"418,343","283,600",96934486,1090501901,"113,545,664",129.0,"123,242","1,570",167.0,"15,480,679",100.0,1210830,"1,073",25956265,0,,1,36136529.0,1774980291
Type Shit,WE DON'T TRUST YOU,Future,2024-03-22,USSM12402033,107,148.1,205206688,"28,064","84,737,651",84.0,39453253,"672,789",,0,0,"232,440,923",99.0,"3,432",45,41.0,"2,943,724",47.0,5897303,"4,527",7571301,900933,,1,10088567.5,258128545
Pedro,Pedro - Single,Jaxomy,2024-03-29,DEE862400427,111,144.6,168145583,"27,654","159,737,263",85.0,35008949,"717,214",,0,0,"39,149,568",107.0,"4,448",,158.0,"16,345,999",54.0,39577,482,3634381,2408838,,0,9354468.0,206828490
Saturn,Saturn - Single,SZA,2024-02-24,USRC12400216,117,142.8,343090427,"21,104","154,253,718",87.0,38173339,"349,660",,0,0,"196,380,893",120.0,"158,378",360,103.0,"10,995,523",87.0,11441987,"7,496",166254,745798,,0,9729806.0,392872007
Believer,Believer,Imagine Dragons,2017-01-31,USUM71700626,119,142.2,3006226762,"335,880","89,243,475",81.0,4495059988,"42,240,881","5,745,117",453132709,5876458723,"276,194,776",226.0,"253,782",388,118.0,"1,138,425",71.0,614578695,"844,301",2943611,21306706,,0,1242374871.0,13995267779
I KNOW ?,UTOPIA,Travis Scott,2023-07-28,USSM12305012,121,139.5,532605345,"128,534","31,725,858",81.0,97958347,"1,237,197","322,900",108595670,947194801,"259,363,238",46.0,"107,637",57,33.0,"1,423,258",40.0,6334599,"8,712",12785993,1861958,,1,52104014.0,1596879085
FE!N,UTOPIA,Travis Scott,2023-07-28,USSM12305010,124,137.8,659010786,"129,923","93,969,186",86.0,125203447,"1,990,342","22,100",13787343,107398826,"244,390,161",87.0,"37,314",361,46.0,"2,137,898",38.0,3029375,"6,510",14942955,1839283,,1,35207539.75,909585389
I Ain't Worried,"I Ain���t Worried (Music From The Motion Pi""Top Gun: Maverick"")",OneRepublic,2022-05-13,USUM72206227,127,136.2,1607421145,"212,406","160,444,270",83.0,409785349,"3,326,477","247,865",155593087,1825552705,"2,563,240,162",267.0,"523,907","3,418",111.0,"4,754,372",75.0,152770142,"49,622",0,9091826,,0,143617586.25,3995529341
Someone You Loved,Breach,Lewis Capaldi,2018-11-08,DEUM71807062,133,129.7,3427498835,"338,763","160,553,919",82.0,2153701892,"20,891,433","1,940,473",212007614,2161032034,"2,333,853,734",408.0,"600,211",381,502.0,"4,834,088",110.0,427212257,"357,540",0,29266297,,0,598743971.25,8169445018
I Don't Wanna Wait,I Don't Wanna Wait,David Guetta,2024-04-05,UKWLG2400013,144,126.9,114574238,"10,564","180,987,712",84.0,9134225,"124,326","299,000",4419373,79796400,"3,117,914",87.0,"86,814",159,128.0,"35,099,280",133.0,4503872,442,422718,0,,0,3388420.5,208431453
La Bachata,La Bachata,Manuel Turizo,2022-05-26,QZDYA1800087,146,126.2,1721045197,"156,941","97,122,096",81.0,798827877,"3,379,928","1,614,275",209367923,2596777974,"420,585,933",142.0,"152,522","1,161",97.0,"8,709,032",133.0,47203290,"19,769",0,4817885,,0,253253441.5,5163854338
SPOT!,SPOT!,ZICO,2024-04-26,USA2P2421932,153,122.8,77757035,"3,407","35,428,519",81.0,100148771,"2,531,168","99,900",46645177,366905484,"24,981,456",27.0,"1,861",51,2.0,"151,901",20.0,63300,98,0,173263,,0,36741823.0,544874590
Family Matters,Family Matters,Drake,2024-05-03,USUG12402984,154,122.7,72335127,"8,696","36,774,031",86.0,41492122,"1,034,563",,0,0,"166,330,702",38.0,"1,488",,16.0,"1,504,365",60.0,3065493,"2,302",2401049,283217,,1,10443856.25,119293791
Too Sweet,Unreal Unearth: Unheard,Hozier,2024-03-22,IEACJ2300335,158,121.2,532012790,"22,396","130,752,527",85.0,13119247,"218,957",,0,0,,235.0,"6,952",,85.0,"25,307,005",108.0,0,,119813,2580089,,0,3924855.25,545251850
QLONA,MA��ANA SER�� BONITO (BICHOTA,KAROL G,2023-08-10,USUG12305257,160,120.7,850810162,"56,104","79,334,561",82.0,258553384,"1,174,349","1,167,300",58820722,717259721,"590,681,204",72.0,"39,951",4,57.0,"7,146,260",83.0,32210732,"12,492",0,1537093,,1,79727820.25,1858833999
I Remember Everything (feat. Kacey Musgraves),I Remember Everything (feat. Kacey Musgraves),Zach Bryan,2023-08-24,USWB12304903,169,116.5,630373315,"70,400","105,320,547",84.0,50938569,"246,731","215,433",70110809,586454750,"207,483,261",95.0,"83,414",35,47.0,"9,094,602",112.0,147144967,"33,058",5597165,1673932,,0,30680848.5,1420508766
PERRO NEGRO,nadie sabe lo que va a pasar ma��,Bad Bunny,2023-10-13,QMFME2364199,175,114.2,689181455,"61,138","90,492,257",83.0,183381482,"738,123","213,300",49332435,487440417,"546,833,520",67.0,"32,507",175,51.0,"13,729,294",44.0,14039085,"3,684",2473108,930098,,1,58411024.5,1376515547
LUNA,FERXXOCALIPSIS,Feid,2023-12-01,USUM72318216,178,112.6,606124553,"40,628","139,802,900",86.0,166363445,"1,019,744","14,519",5128004,29601244,"476,273,095",80.0,"51,631",170,64.0,"14,011,480",31.0,1550124,"1,179",0,1704574,,0,43299027.25,803639366
Get It Sexyy,Get It Sexyy,Sexyy Red,2024-03-15,QZSYP2454435,185,111.1,89362910,"7,377","70,714,216",84.0,37676729,"525,264","361,700",71058620,476545000,"126,493,852",52.0,"52,534",976,4.0,"57,534",58.0,10234988,"14,251",2263132,514293,,1,27312431.5,616082759
Stargazing,Stargazing,Myles Smith,2024-05-10,GBARL2400510,191,109.8,106599323,"9,406","164,949,597",87.0,10331471,"167,936",,279000,4700000,"38,232,470",120.0,"11,172",14,93.0,"14,817,504",109.0,3667355,548,990796,0,,0,2652639.5,126288945
Whatever,Whatever,Kygo,2024-01-19,USRC12302637,196,109.0,222354971,"17,551","159,961,203",83.0,45439562,"522,558",,0,0,"1,880,782,257",111.0,"191,358",278,171.0,"32,320,584",109.0,10225886,568,0,1421900,,0,11715386.25,278020419
Whatever She Wants,Whatever She Wants,Bryson Tiller,2024-02-13,USRC12400299,197,108.4,207093873,"23,181","114,051,028",87.0,19787472,"254,004","67,400",22398663,298300000,"320,540,886",61.0,"5,477",577,31.0,"1,483,573",65.0,6895257,"6,101",13917600,0,,1,10546555.5,545994202
Si No Quieres No,Si No Quieres No - Single,Luis R Conriquez,2024-03-09,US3DF2417042,233,101.4,158131138,"5,423","71,590,238",85.0,135893150,"889,014","142,300",14500,147200,"134,369,232",34.0,8,3,8.0,"2,319,237",15.0,5439215,"3,601",0,833928,,0,34185415.75,299610703
Watermelon Sugar,Watermelon Sugar,Harry Styles,2019-11-17,USSM11912587,243,99.7,2708151499,"298,135","159,003,869",82.0,872052223,"11,269,126","1,375,118",301076974,2738127473,"2,170,262,684",554.0,"647,363",914,557.0,"4,404,589",101.0,133633509,"253,839",0,9612968,,0,295685561.75,6451964704
Coraz��n de Pi,Coraz��n de Piedra - Si,Xavi,2024-03-23,USA2P2414894,244,98.8,172164034,"5,517","48,983,734",82.0,117450205,"1,103,003",,0,0,"135,952,492",11.0,"1,879",,7.0,"2,124,457",16.0,9152713,"1,759",1136588,418366,,0,29467163.25,299903540
Starboy,Starboy,The Weeknd,2016-09-22,USUG11600976,265,95.7,3291262413,"366,133","98,022,646",84.0,2829990867,"14,968,547","262,780",52707882,375498232,"218,584,786",341.0,"68,441",148,118.0,"875,683",67.0,331295154,"418,888",23612071,15648166,,1,724586749.75,6851658737
I Can Do It With a Broken Heart,THE TORTURED POETS DEPARTMENT,Taylor Swift,2024-04-18,USUG12401040,267,95.0,250430303,"7,079","134,357,870",84.0,16747466,"251,549","148,000",52156902,411722900,"45,283,900",72.0,"6,243",2,37.0,"8,927,842",76.0,5771611,"11,920",0,188022,,1,17273118.5,684672280
Something Just Like This,Something Just Like This,The Chainsmokers,2017-02-22,USQX91700278,273,94.0,2596644721,"278,237","128,709,855",82.0,2822804239,"15,242,846","350,848",80813727,631258708,"277,516,825",315.0,"409,911",,420.0,"1,634,441",108.0,588568899,"197,928",0,16040973,,0,729914755.25,6639276567
La V��c,La V��c,Xavi,2023-08-19,USA2P2339944,280,92.0,521116293,"24,734","22,828,160",81.0,427625497,"2,560,068","33,444",11882123,107781205,"1,392,579,416",18.0,"3,852",82,20.0,"14,503,583",22.0,10154861,"13,336",0,988007,,1,110123927.0,1066677856
Slow It Down,Slow It Down,Benson Boone,2024-03-22,USWB12400913,294,89.4,202667139,"11,945","116,623,933",85.0,25188125,"291,189",,349400,3500000,"126,501,922",56.0,"36,922",326,37.0,"6,074,638",74.0,16853510,"3,223",442051,518777,,0,6514096.75,248650825
HARLEY QUINN,HARLEY QUINN - Single,Fuerza Regida,2023-10-18,QZ9QQ2300781,301,87.7,462284590,"31,617","36,745,154",84.0,110545167,"325,395","911,100",169601790,1947539058,"184,602,581",41.0,"13,786",721,46.0,"7,896,597",39.0,14745087,"13,732",233125,1075943,,1,70305746.0,2535347027
Romantic Homicide,Romantic Homicide,d4vd,2022-07-20,QZMEM2232831,308,86.8,1136504636,"152,157","60,605,828",81.0,154143867,"2,307,573","515,601",215294962,1306972284,"89,389,771",65.0,"8,306",43,25.0,"426,502",15.0,8674577,"16,784",30568973,1892741,,0,92832912.75,2636864337
Pink Skies,Pink Skies,Zach Bryan,2024-05-24,USWB12401947,309,86.7,60240739,"4,611","98,570,633",84.0,3322959,"65,840",,107100,843600,"235,974,273",82.0,734,1,26.0,"5,164,376",79.0,5006041,"2,349",521223,156886,,0,896757.25,69934562
Standing Next to You,GOLDEN,Jung Kook,2023-11-03,USA2P2348391,321,85.5,675865902,"23,181","58,344,509",85.0,130563278,"4,183,405","308,567",111187858,628043802,"2,554,205,866",37.0,"62,294",25,49.0,"6,851,022",24.0,3073921,"1,442",0,1220942,,0,60743040.75,1437546903
Austin,Austin - Single,Dasha,2023-11-17,QZTB92360479,327,84.6,273023490,"17,900","169,190,514",87.0,28916868,"303,426","744,600",187163600,2850135008,"448,423,212",99.0,"83,189",449,48.0,"1,283,979",130.0,22107065,"4,925",337191,1521087,,1,54400410.5,3174519622
Stick Season,Stick Season,Noah Kahan,2022-07-08,USUM72212470,342,82.6,965865213,"113,676","169,323,128",86.0,89431811,"659,870","82,855",29406696,275016537,"315,685,769",148.0,"319,240",577,85.0,"16,767,304",103.0,18405146,"38,276",8435767,3365903,,0,30551124.0,1357154474
L���AMOUR DE ,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401990,352,81.6,84575291,"5,186","51,449,432",85.0,11080040,"346,121",137,0,0,"3,541,236",95.0,271,1,19.0,"2,682,503",18.0,183562,231,749185,214747,,0,2823718.0,96588078
Madonna,Madonna - Single,Natanael Cano,2024-03-08,QZ9QQ2400185,354,81.3,272838329,"7,265","54,631,978",85.0,105675950,"806,116",,150848,2099500,"126,527,485",23.0,572,,10.0,"2,210,844",8.0,1544866,966,0,572478,,1,26599840.25,382158645
CONTIGO (with Ti��,CONTIGO (with Ti��,KAROL G,2024-02-15,USUG12400966,357,81.0,162165853,"10,306","87,901,542",85.0,93106341,"1,394,962",,0,0,"1,916,097,608",66.0,"46,348",53,45.0,"4,652,694",69.0,11091776,"1,611",179,775583,,0,23470502.25,266364149
